SERVICE_REQUEST_NUMBER,ADDRESS,CITY_COUNCIL_DISTRICT,DEPARTMENT,SERVICE_REQUEST_TYPE,ERT(ESTIMATED_RESPONSE_TIME),ERT_MEASURED_IN,OVERALL_SERVICE_REQUEST_DUE_DATE,STATUS,CREATED_DATE,UPDATED_DATE,CLOSED_DATE,OUTCOME,PRIORITY,METHOD_RECEIVED_DESC,LAT_LONG_VALUE,UNIQUE_KEY
20-00071440,"1521 MCLEAN AVE, DALLAS, TX, 75211",1,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/05/2020 11:59:00 PM,Closed,01/22/2020 02:20:20 PM,01/28/2020 01:27:05 PM,01/22/2020 02:20:20 PM,Work Completed,Standard,API,"(32.72902793987453000,-96.87949975150305000)",500t000000R3JAyAAN
20-00090154,"1814 DRYDEN DR, DALLAS, TX, 75211",1,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/11/2020 11:59:00 PM,In Progress (Duplicate),01/28/2020 08:49:45 AM,01/28/2020 08:49:55 AM,01/28/2020 08:49:45 AM,,Standard,API,"(32.72617189595511000,-96.88496291412453000)",500t000000R41VAAAZ
20-00071482,"1495 S WESTMORELAND RD, DALLAS, TX, 75211",1,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/05/2020 11:59:00 PM,In Progress,01/22/2020 02:24:31 PM,01/28/2020 01:28:26 PM,01/22/2020 02:24:31 PM,,Standard,API,"(32.72894021572901000,-96.87452041688353000)",500t000000R3JGSAA3
20-00088288,"1823 DRYDEN DR, DALLAS, TX, 75211",1,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/10/2020 11:59:00 PM,In Progress,01/27/2020 03:14:12 PM,01/28/2020 07:11:16 AM,01/27/2020 03:14:12 PM,,Standard,API,"(32.72603296939164600,-96.88528755389918000)",500t000000R3wS1AAJ
20-00065422,"2102 HAWTHORNE AVE, DALLAS, TX, 75219",2,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,02/10/2020 11:59:00 PM,In Progress,01/21/2020 11:50:40 AM,01/28/2020 09:39:44 AM,01/21/2020 11:50:40 AM,,Standard,API,"(32.80836569740599000,-96.82859345645514000)",500t000000R35BJAAZ
19-01308296,"2436 S GOOD LATIMER EXPY, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/17/2020 11:59:00 PM,Closed,11/08/2019 01:18:30 PM,01/27/2020 01:57:34 AM,11/08/2019 01:18:30 PM,Investigation Complete,Standard,API,"(32.77031442259621000,-96.77684800683004000)",500t000000NidmHAAR
20-00083238,"1448 E R L THORNTON SERV EB, DALLAS, TX, 75215",2,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,02/13/2020 11:59:00 PM,Closed,01/25/2020 11:26:49 AM,01/28/2020 06:36:43 AM,01/25/2020 11:26:49 AM,Work Could not be Completed,Standard,API,"(32.77320565771720000,-96.79509020825508000)",500t000000R3k89AAB
20-00084228,"1262 BELLEVIEW ST, DALLAS, TX, 75215",2,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,02/14/2020 11:59:00 PM,Closed,01/26/2020 12:47:46 AM,01/28/2020 10:08:52 AM,01/26/2020 12:47:46 AM,No Action Required,Standard,API,"(32.77019611129744400,-96.79298165125400000)",500t000000R3lp9AAB
20-00094574,"3069 MUNICIPAL ST, DALLAS, TX, 75215",7,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,02/18/2020 11:59:00 PM,New,01/29/2020 05:41:03 AM,01/29/2020 01:03:01 PM,01/29/2020 05:41:03 AM,,Standard,Phone,"(32.74373044674568000,-96.74570996629089000)",500t000000R4BqhAAF
20-00094623,"3874 ALTA VISTA LN, DALLAS, TX, 75229",13,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,02/18/2020 11:59:00 PM,In Progress,01/29/2020 07:16:23 AM,01/29/2020 12:54:51 PM,01/29/2020 07:16:23 AM,,Standard,API,"(32.90416561662616000,-96.84897040565157000)",500t000000R4CBQAA3
19-01457909,"6399 LA COSA DR, DALLAS, TX, 75248",11,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,01/09/2020 11:59:00 PM,Closed,12/21/2019 10:44:41 AM,01/29/2020 05:08:59 AM,12/21/2019 10:44:41 AM,Work Completed,Standard,Phone,"(32.95976409115229400,-96.79615346633090000)",500t000000PyYeiAAF
20-00090084,"JUNE DR & DRYDEN DR, DALLAS, TX, 75211",1,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/11/2020 11:59:00 PM,In Progress,01/28/2020 08:41:33 AM,01/29/2020 07:22:59 AM,01/28/2020 08:41:33 AM,,Standard,API,"(32.72261474859781000,-96.88478062395313000)",500t000000R41MSAAZ
19-01382589,"317 S WALTON ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/07/2020 11:59:00 PM,In Progress,11/30/2019 12:50:16 PM,01/27/2020 02:39:50 AM,11/30/2019 12:50:16 PM,,Standard,API,"(32.78223491392886000,-96.78013706649296000)",500t000000Odno6AAB
20-00023334,"2619 COOMBS CREEK DR, DALLAS, TX, 75211",3,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,01/23/2020 11:59:00 PM,Closed (Transferred),01/08/2020 12:53:35 PM,01/27/2020 02:06:18 AM,01/08/2020 12:53:35 PM,,Standard,API,"(32.72005748577216000,-96.87929199024508000)",500t000000Q0LDuAAN
19-01268048,"407 N FITZHUGH AVE, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/07/2020 11:59:00 PM,Closed,10/29/2019 05:29:18 AM,01/27/2020 02:51:36 AM,10/29/2019 05:29:18 AM,Investigation Complete,Standard,API,"(32.79721890428129000,-96.76619687471533000)",500t000000Nu4gwAAB
19-01418135,"4601 ROSS AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,Closed,12/10/2019 01:54:19 PM,01/27/2020 02:03:01 AM,12/10/2019 01:54:19 PM,Investigation Complete,Standard,API,"(32.80403719167004000,-96.77906824921861000)",500t000000Of279AAB
19-01401402,"200 CORINTH ST, DALLAS, TX, 75207",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/13/2020 11:59:00 PM,Closed,12/05/2019 11:12:47 AM,01/27/2020 02:28:13 AM,12/05/2019 11:12:47 AM,Investigation Complete,Standard,API,"(32.75981622416587000,-96.79383834079826000)",500t000000OeQeeAAF
19-01421419,"7026 ROCKY TOP CIR, DALLAS, TX, 75252",12,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,Closed,12/11/2019 10:09:09 AM,01/27/2020 02:03:40 AM,12/11/2019 10:09:09 AM,Investigation Complete,Standard,API,"(32.99011906108372500,-96.77996785137029000)",500t000000Of9qLAAR
19-01201491,"7735 GREENVILLE AVE, DALLAS, TX, 75231",13,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/18/2019 11:59:00 PM,In Progress,10/09/2019 09:18:17 PM,01/27/2020 02:32:28 AM,10/09/2019 09:18:17 PM,,Standard,API,"(32.88690345210209000,-96.75806729298850000)",500t000000N5hPxAAJ
19-01232318,"4306 N CENTRAL EXPY NB, DALLAS, TX, 75206",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/27/2019 11:59:00 PM,Closed,10/18/2019 11:18:23 AM,01/27/2020 02:23:00 AM,10/18/2019 11:18:23 AM,Investigation Complete,Standard,Phone,"(32.81722980299636000,-96.78827571978536000)",500t000000NXZiiAAH
19-01430113,"1502 N GARRETT AVE, DALLAS, TX, 75206",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,New,12/13/2019 09:23:14 AM,01/27/2020 02:04:20 AM,12/13/2019 09:23:14 AM,,Standard,API,"(32.80675769474283000,-96.77216072895340000)",500t000000PxIUsAAN
19-01253868,"1000 MUNGER AVE, DALLAS, TX, 75202",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/02/2020 11:59:00 PM,Closed,10/24/2019 11:57:53 AM,01/27/2020 01:51:26 AM,10/24/2019 11:57:53 AM,Investigation Complete,Standard,API,"(32.78371900357344000,-96.80610819184840000)",500t000000Nrc5TAAR
19-01339659,"2901 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/27/2020 11:59:00 PM,New,11/18/2019 07:23:12 AM,01/27/2020 02:45:47 AM,11/18/2019 07:23:12 AM,,Standard,API,"(32.78503218504035000,-96.78247817214410000)",500t000000OcJNhAAN
19-01219568,"2216 SPRINGHILL DR, DALLAS, TX, 75228",9,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/24/2019 11:59:00 PM,Closed,10/15/2019 12:14:39 PM,01/27/2020 02:50:44 AM,10/15/2019 12:14:39 PM,Investigation Complete,Standard,API,"(32.81371196482508000,-96.70271839115908000)",500t000000N6ypSAAR
19-01264950,"727 FORT WORTH AVE, DALLAS, TX, 75208",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/06/2020 11:59:00 PM,Closed,10/28/2019 10:20:46 AM,01/27/2020 01:52:26 AM,10/28/2019 10:20:46 AM,Investigation Complete,Standard,API,"(32.77059923325571000,-96.83538322449215000)",500t000000NtRFXAA3
19-01216343,"2912 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/23/2019 11:59:00 PM,Closed (Duplicate),10/14/2019 02:58:31 PM,01/27/2020 02:49:51 AM,10/14/2019 02:58:31 PM,Investigation Complete,Standard,API,"(32.78480646975699400,-96.78219743467577000)",500t000000N6h8CAAR
19-01223975,"1835 S HARWOOD ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 11:39:09 AM,01/27/2020 02:21:32 AM,10/16/2019 11:39:09 AM,Investigation Complete,Standard,API,"(32.77259467968771000,-96.78407966444384000)",500t000000NWZl8AAH
19-01227879,"627 W DAVIS ST, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/26/2019 11:59:00 PM,Closed,10/17/2019 10:46:51 AM,01/27/2020 02:21:46 AM,10/17/2019 10:46:51 AM,Investigation Complete,Standard,API,"(32.74961434900611000,-96.83226404281140000)",500t000000NWwbsAAD
19-01239970,"237 W BROOKLYN AVE, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/30/2019 11:59:00 PM,In Progress,10/21/2019 12:08:35 PM,01/27/2020 02:53:16 AM,10/21/2019 12:08:35 PM,,Standard,API,"(32.73935785434035000,-96.82533397069255000)",500t000000NZPP7AAP
19-01312128,"2959 S BUCKNER BLVD, DALLAS, TX, 75227",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/17/2020 11:59:00 PM,Closed,11/10/2019 07:50:31 AM,01/27/2020 02:47:38 AM,11/10/2019 07:50:31 AM,Investigation Complete,Standard,API,"(32.76261027951077000,-96.68288590262617000)",500t000000NioL2AAJ
19-01356950,"1607 EMERY ST, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 02:08:53 PM,01/27/2020 02:47:08 AM,11/21/2019 02:08:53 PM,Investigation Complete,Standard,API,"(32.74630163529983000,-96.76186090815715000)",500t000000Oct7pAAB
19-01418072,"5435 GASTON AVE, DALLAS, TX, 75214",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,In Progress,12/10/2019 01:48:08 PM,01/27/2020 02:03:15 AM,12/10/2019 01:48:08 PM,,Standard,API,"(32.80502004665205000,-96.76369979607298000)",500t000000Of1zAAAR
19-01356642,"2029 S BUCKNER BLVD, DALLAS, TX, 75217",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 01:28:38 PM,01/27/2020 02:47:04 AM,11/21/2019 01:28:38 PM,Investigation Complete,Standard,API,"(32.74737850697617600,-96.68312386987280000)",500t000000OcsaCAAR
19-01221958,"2288 LEMMON AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 07:04:48 AM,01/27/2020 02:50:46 AM,10/16/2019 07:04:48 AM,Investigation Complete,Standard,API,"(32.80391156824477000,-96.78800193268557000)",500t000000NWRo1AAH
20-00006206,"S WALTON ST & COMMERCE ST, DALLAS, TX, 75226",2,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,01/17/2020 11:59:00 PM,Closed,01/03/2020 09:43:40 AM,01/27/2020 02:34:16 AM,01/03/2020 09:43:40 AM,Work Completed,Standard,API,"(32.78376492304206000,-96.78040186192000000)",500t000000PzjD8AAJ
19-01396230,"2910 COMMERCE ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/12/2020 11:59:00 PM,Closed,12/04/2019 11:43:47 AM,01/27/2020 02:27:17 AM,12/04/2019 11:43:47 AM,Investigation Complete,Standard,API,"(32.78336957052324000,-96.78172750393472000)",500t000000OeGHfAAN
19-01275907,"7402 CORTLAND AVE, DALLAS, TX, 75235",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/08/2020 11:59:00 PM,Closed,10/30/2019 03:50:13 PM,01/27/2020 02:40:42 AM,10/30/2019 03:50:13 PM,Investigation Complete,Standard,API,"(32.83463157077065400,-96.85040631312678000)",500t000000NutsiAAB
19-01177786,"503 S HASKELL AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/12/2019 11:59:00 PM,Closed,10/03/2019 10:16:05 AM,01/27/2020 12:57:10 AM,10/03/2019 10:16:05 AM,Investigation Complete,Standard,API,"(32.78645939540841400,-96.76838845253698000)",500t000000N3yDoAAJ
19-01220434,"2901 INDIANA ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/24/2019 11:59:00 PM,Closed (Duplicate),10/15/2019 02:09:13 PM,01/27/2020 02:50:33 AM,10/15/2019 02:09:13 PM,Investigation Complete,Standard,API,"(32.78567925694864000,-96.78268489348193000)",500t000000NWEwRAAX
19-01299277,"2630 COMMERCE ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed,11/06/2019 01:23:43 PM,01/27/2020 01:57:11 AM,11/06/2019 01:23:43 PM,Information Provided,Standard,API,"(32.78257259668286000,-96.78564338744140000)",500t000000NiKkCAAV
19-01168403,"4155 BUENA VISTA ST, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/10/2019 11:59:00 PM,Closed,10/01/2019 10:59:07 AM,01/27/2020 01:12:51 AM,10/01/2019 10:59:07 AM,Investigation Complete,Standard,API,"(32.81680025505736600,-96.79533690609230000)",500t000000N3J9RAAV
19-01318526,"7314 CORTLAND AVE, DALLAS, TX, 75235",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/21/2020 11:59:00 PM,Closed,11/12/2019 09:03:44 AM,01/27/2020 02:48:42 AM,11/12/2019 09:03:44 AM,Investigation Complete,Standard,API,"(32.83406393431183500,-96.84973948190748000)",500t000000ObadQAAR
19-01253567,"6417 CHRISTENSEN DR, DALLAS, TX, 75227",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/02/2020 11:59:00 PM,Closed,10/24/2019 11:04:52 AM,01/27/2020 01:51:35 AM,10/24/2019 11:04:52 AM,Investigation Complete,Standard,API,"(32.76481990742183000,-96.71082431817280000)",500t000000NrZmZAAV
19-01218953,"4814 GASTON AVE, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/24/2019 11:59:00 PM,Closed,10/15/2019 10:32:23 AM,01/27/2020 02:50:27 AM,10/15/2019 10:32:23 AM,Investigation Complete,Standard,API,"(32.79898711549196000,-96.77051365023564000)",500t000000N6uJ8AAJ
19-01342206,"5429 GURLEY AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/27/2020 11:59:00 PM,Closed,11/18/2019 01:23:26 PM,01/27/2020 02:46:00 AM,11/18/2019 01:23:26 PM,Investigation Complete,Standard,API,"(32.79379306720921000,-96.75093636535280000)",500t000000OcOXcAAN
19-01357715,"2825 COMMERCE ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,In Progress,11/21/2019 03:48:29 PM,01/27/2020 02:46:33 AM,11/21/2019 03:48:29 PM,,Standard,API,"(32.78341890425867000,-96.78292360190224000)",500t000000OcuOmAAJ
19-01390703,"1710 S BUCKNER BLVD, DALLAS, TX, 75217",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/11/2020 11:59:00 PM,Closed,12/03/2019 10:49:08 AM,01/27/2020 02:37:37 AM,12/03/2019 10:49:08 AM,Investigation Complete,Standard,API,"(32.74165268431686000,-96.68265377940170000)",500t000000Oe57tAAB
19-01271982,"2710 MAURINE F BAILEY WAY, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/07/2020 11:59:00 PM,New (Duplicate),10/29/2019 03:53:54 PM,01/27/2020 02:51:57 AM,10/29/2019 03:53:54 PM,,Standard,API,"(32.75377967982099000,-96.75291328985182000)",500t000000NudEAAAZ
19-01249270,"3016 COLONIAL AVE, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/01/2020 11:59:00 PM,Closed,10/23/2019 11:44:38 AM,01/27/2020 02:43:24 AM,10/23/2019 11:44:38 AM,Investigation Complete,Standard,API,"(32.76159643077441000,-96.77603811414386000)",500t000000NaNZ2AAN
19-01376596,"626 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,In Progress,11/27/2019 10:23:16 AM,01/27/2020 02:39:10 AM,11/27/2019 10:23:16 AM,,Standard,API,"(32.74299059617050000,-96.83266220576937000)",500t000000OdaUcAAJ
19-01404694,"HOLMES ST & MARTIN LUTHER KING JR BLVD, DALLAS, TX, 75215",7,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/20/2019 07:51:59 AM,Closed,12/06/2019 07:51:59 AM,01/27/2020 02:54:12 AM,12/06/2019 07:51:59 AM,Work Completed,Standard,Proactive,"(32.76072959964505000,-96.77819364209051000)",500t000000OeXZvAAN
19-01319727,"250 S RIVERFRONT BLVD, DALLAS, TX, 75207",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/21/2020 11:59:00 PM,Closed (Duplicate),11/12/2019 11:27:59 AM,01/27/2020 02:47:55 AM,11/12/2019 11:27:59 AM,,Standard,API,"(32.77524632278556000,-96.81306737809615000)",500t000000Obd6AAAR
19-01471888,"CADIZ ST & HOTEL ST, DALLAS, TX, 75207",2,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/13/2020 08:13:23 AM,Closed,12/27/2019 08:13:23 AM,01/27/2020 01:59:10 AM,12/27/2019 08:13:23 AM,Work Completed,Standard,Proactive,"(32.76840117795287500,-96.80171235355263000)",500t000000Pz17eAAB
19-01426045,"2415 N CENTRAL EXPY SB, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,In Progress,12/12/2019 09:58:29 AM,01/27/2020 02:28:56 AM,12/12/2019 09:58:29 AM,,Standard,API,"(32.80142261166586000,-96.79337834845970000)",500t000000OfPtBAAV
19-01359569,"2600 SYLVAN AVE, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/31/2020 11:59:00 PM,New,11/22/2019 10:03:28 AM,01/27/2020 02:23:24 AM,11/22/2019 10:03:28 AM,,Standard,API,"(32.77580124238226500,-96.83560320829470000)",500t000000OcyurAAB
19-01444265,"10016 ROYAL LN, DALLAS, TX, 75238",10,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed,12/17/2019 07:29:02 PM,01/27/2020 02:05:30 AM,12/17/2019 07:29:02 PM,Investigation Complete,Standard,API,"(32.89432990622416000,-96.71665472317788000)",500t000000PxpELAAZ
19-01220573,"2820 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/24/2019 11:59:00 PM,Closed (Duplicate),10/15/2019 02:29:17 PM,01/27/2020 02:50:06 AM,10/15/2019 02:29:17 PM,Investigation Complete,Standard,API,"(32.78387365669471600,-96.78308844263216000)",500t000000NWFlZAAX
19-01248742,"4408 2ND AVE, DALLAS, TX, 75210",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/01/2020 11:59:00 PM,Closed,10/23/2019 10:33:30 AM,01/27/2020 02:43:24 AM,10/23/2019 10:33:30 AM,Investigation Complete,Standard,API,"(32.76438948883794000,-96.74827802992517000)",500t000000NaJzfAAF
19-01349825,"318 CADIZ ST, DALLAS, TX, 75207",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/29/2020 11:59:00 PM,Closed (Duplicate),11/20/2019 07:50:35 AM,01/27/2020 02:46:14 AM,11/20/2019 07:50:35 AM,Investigation Complete,Standard,API,"(32.76708717613336600,-96.80281657183566000)",500t000000OceoPAAR
19-01167135,"1922 FORT WORTH AVE, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/10/2019 11:59:00 PM,In Progress,10/01/2019 08:12:52 AM,01/27/2020 01:13:11 AM,10/01/2019 08:12:52 AM,,Standard,API,"(32.76388308726713000,-96.85178133649231000)",500t000000N3EeFAAV
20-00023324,"4012 W ILLINOIS AVE, DALLAS, TX, 75211",3,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,01/23/2020 11:59:00 PM,Closed (Transferred),01/08/2020 12:44:10 PM,01/27/2020 02:06:22 AM,01/08/2020 12:44:10 PM,,Standard,API,"(32.72020324200876500,-96.88505620136085000)",500t000000Q0LCrAAN
19-01444503,"4924 COLUMBIA AVE, DALLAS, TX, 75214",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed (Duplicate),12/17/2019 08:32:09 PM,01/27/2020 02:05:36 AM,12/17/2019 08:32:09 PM,Investigation Complete,Standard,API,"(32.79572442898554400,-96.76262005543200000)",500t000000Pxoz8AAB
19-01224778,"1215 N ZANG BLVD, DALLAS, TX, 75203",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed (Duplicate),10/16/2019 01:44:37 PM,01/27/2020 02:21:44 AM,10/16/2019 01:44:37 PM,Investigation Complete,Standard,API,"(32.75777680335857000,-96.82165608676186000)",500t000000NWf2RAAT
